数据下载时间：2021-06-30 09:54:15 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/583009869469/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
19,z**4,口味: 肉松饼150g+送150g（发300g/箱仅5.9元）散装尝鲜,好评, 这是一个好评模版，不要看了下面都是废话。因为本姑娘很懒不想每个宝贝都写好评 所以才模仿网友的  好评模版  但是这个宝贝不管是质量 款式还是性价比 都是本姑娘喜欢的  如果是不喜欢的那本姑娘就会很生气 然后这个模版就变成了各种喋喋不休的吐槽  自然就不会撒下这个好评给各位淘友一个参考  本宝贝还是极好的  ,-,-,2021-06-21
20,蓝**肥,口味: 肉松饼1kg+送同款1kg（发4斤/箱约55-60个仅28.8元),好评,真的是便宜，以为自己赚到了买到了肉松饼还那么便宜，口感上其实跟肉松饼差不多，但是里面松松散散的更像是绿豆饼，里面隐约还是可以看到肉松。量还是够的，挺多的，另附上配料表供大家参考,-,-,2021-06-22
21,y**9,口味: 肉松饼250g+送同款250g（发500g/箱仅7.9元）限量,好评,实惠好吃，很满意，下次再来光顾。,很好吃，推荐给朋友一起品尝,-,2021-06-15
22,l**2,口味: 肉松饼250g+送同款250g（发500g/箱仅7.9元）限量,好评,这是我们村第一个在淘宝上买东西的人，这里大部分人是不网购的。他们买东西价格一般不超过五块，听说我在淘宝买东西之后，全村都震惊了，村长跑来我家里对我的爸说我疯了! 媳妇跟我闹离婚，说这日子没法过了! 面对重重压5力，我坚持买、买!我相信这个月的工资不会白花的。终于快递到了，我怀揣这激动的心情，颤抖着打开包裹，那一刹那，我感觉我的眼睛要亮**，啊..这颜值这手感这质量! 只怪我读书少，无法用华丽的语言来形容它，骄傲的站在村口，整个村都沸腾了。说太好了，太值得了，更有人拼命的喊，不给他们看就，他们就跳井。吓得我赶紧收拾宝贝， 落荒而逃。为了测试宝贝的好吃， 我立刻去我们村高达250米的山上的村长试吃！ ,-,-,2021-06-26
23,t**8,口味: 肉松饼250g+送同款250g（发500g/箱仅7.9元）限量,好评,肉松饼已经收到，挺好吃的，购买了两层，都足称。很愉快的一次购物。我会继续关注该店的，希望店家经常搞促销活动，只要价格便宜，我还会再来买的。最后祝店家生意兴隆！ ,-,-,2021-06-25
24,r**s,口味: 肉松饼500g【送】厦门椰子饼400g（仅18.9元）,好评,包装品质：送到来泡水内外包装都破破烂烂的，店家爱理不理，第一次网上买这东西，确实心里难以接受，当买个教训！ ,-,-,2021-06-25
25,套**员,口味: 肉松饼250g+送同款250g（发500g/箱仅7.9元）限量,好评,肉松饼收到了，一箱十多个，分量足，包装完好没漏气，日期也比较新鲜 ,-,-,2021-06-21
26,t**9,口味: 抹茶味绿豆饼250g+送250g（发500g/箱）仅6.9元,好评,味道挺不错的，朋友都很喜欢吃，说下次还要继续点。今天还是比较幸运的，选中了你们这家店 店家提供的量是够的。还担心不好吃呢，结果是感觉比想象中令人满意，希望店家多搞活动，下次会再团.✌🏻  ,-,-,2021-06-26
27,5**恋,口味: 肉松饼250g+送同款250g（发500g/箱仅7.9元）限量//,好评,"孩子喜欢！与实体店绿豆糕口感没有区别﻿☀,口感味道：略甜﻿☀,口感还可以吧﻿☀,味道还可以﻿☀,而且便宜实惠﻿☀,拿到店铺里面﻿☀,点赞哈密瓜小姐姐的耐心解决﻿☀,但嚼起oa来越吃越香﻿☀,喜欢的朋友尽管来吧﻿☀,被一群小孩子吃完了﻿☀ ",-,-,2021-05-31
28,桂**下,口味: 抹茶味绿豆饼250g+送250g（发500g/箱）仅6.9元,好评,总体来说，确实很不错，客服的服务态度也很棒，说话几乎马上就会回消息，物超所值，真心推荐跟实体店没有区别，还便宜，喜欢！品质一级棒，包装也不错，物流很快，而且价格合理，很实惠，很喜欢宝贝收到了，太惊喜了，质量非常好，性价比很高，真是出乎我的意料！宝贝收到了，太惊喜了，质量非常好，性价比很高，真是出乎我的意料！物流速度真的是没话说，就是一个字：快。商品从外包装来看非常高档，真是一分钱一分货，贵有贵的道理 ,-,-,2021-06-24
29,黄**0,口味: 肉松饼500g【送】奶黄流心蛋黄酥6枚（仅15.8元）,好评,包装品质：很差劲 新鲜度：不新鲜的 口感味道：真不好吃啊 ,-,-,2021-06-26
30,t**8,口味: 肉松饼500g+送同款500g（发1000g/箱仅14.8元）热卖,好评,包装品质：还可以 商品分量：分量很足，有二十几个 保质期：还不错 新鲜度：还行 口感味道：口感一般，肉松量少，不过一分钱一分货，能理解 ,-,-,2021-06-25
31,c**8,口味: 肉松饼150g+送150g（发300g/箱仅5.9元）散装尝鲜,好评,感谢店家，感谢淘宝，感谢天猫，感谢阿里巴巴，感谢马云，让我足不出户享受到如此好的物美价廉的产品与服务。你们辛苦了! ,-,-,2021-06-22
32,请**名,口味: 抹茶味绿豆饼250g+送250g（发500g/箱）仅6.9元,好评,不是我之前吃过的那种原始形的绿豆饼   内陷不是特别有绿豆味  可能这样的加工产品都是这个味道  这个真的太🉑了，🎁包装很精美，宝贝做工比较精细，商家特别好❤，有问题都及时处理👍，确实是一次相当满意的网购，还会再来的😘 ,-,-,2021-06-25
33,m**2,口味: 肉松饼500g+送同款500g（发1000g/箱仅14.8元）热卖,好评,包装品质：包装好 商品分量：分量足 口感味道：口味美 一直买奇妙的零食，实惠而且好吃 ,-,-,2021-06-22
34,l**6,口味: 抹茶味绿豆饼250g+送250g（发500g/箱）仅6.9元,好评,味道不错，比想象中的好吃，皮不会很厚，甜度刚好 ,-,-,2021-06-23
35,t**9,口味: 肉松饼1000g【送】咸蛋黄蛋卷400g（发2箱仅22.8）,好评,探索浩瀚宇宙是人类的共同梦想，要推动实施好探月工程四期，一步一个脚印开启星际探测新征程。要继续发挥新型举国体制优势，加大自主创新工作力度，统筹谋划，再接再厉，推动中国航天空间科学、空间技术、空间应用创新发展，积极开展国际合作，为增进人类福祉作出新的更大贡献。,-,-,2021-06-26
36,y**3,口味: 肉松饼150g+送150g（发300g/箱仅5.9元）散装尝鲜,好评,味道还不错，就是外包装压变形了，有一个饼压碎了。,-,-,2021-06-26
37,邓**涛,口味: 肉松饼500g【送】抹茶味绿豆饼500g（仅15.9元）,好评,已经是第二次购买了，经济实惠，好吃不贵 ,-,-,2021-06-22
38,j**杰,口味: 肉松饼500g+送同款500g（发1000g/箱仅14.8元）热卖,好评,包装品质：好 商品分量：2斤 保质期：6个月 新鲜度：6月4号的生产日期 口感味道：还没吃，吃了再来追评 ,-,-,2021-06-18
39,l**j,口味: 肉松饼1kg+送同款1kg（发4斤/箱约55-60个仅28.8元),好评,此用户没有填写评价。,肉松饼吃了一段时间！味道还不错！尤其是中间的肉松很香甜，货真价实，而且份量很足，经济实惠，以后有需要在来！,-,2021-06-17
40,t**5,口味: 抹茶味绿豆饼250g+送250g（发500g/箱）仅6.9元,好评,"里面是独立的真空包🕤装,外壳硬,不得不得竖🙍起大拇指。现在社会真😆好,下次再来光顾。很📫满意,咸甜味,很干,👕不太甜,正是我需要的🎠,而且还吃到了一个不🍦知名的东西,都会认真🌷回答我,掌柜态度很专🚾业热情,😍😍😍 ",-,-,2021-06-20
41,。**主,口味: 肉松饼250g+送同款250g（发500g/箱仅7.9元）限量,好评,味道好好吃，好香的包装很好很新鲜。 ,-,-,2021-06-26
42,t**4,口味: 肉松饼1kg+送同款1kg（发4斤/箱约55-60个仅29.9元)..,好评,商品分量：去掉包装这个就是不够分量对我 保质期：吃着硬邦邦的有种不新鲜的感觉 新鲜度：感觉不新鲜 口感味道：不太好吃，主要是太甜了， ,-,-,2021-06-21
43,我**2,口味: 肉松饼250g+送同款250g（发500g/箱仅7.9元）限量,好评,肉松饼收到了，和想象中的有点偏差，嘿嘿，回头吃了再说,-,-,2021-06-24
44,1**9,口味: 肉松饼500g+送同款500g（发1000g/箱仅14.8元）热卖,好评,包装品质：还好 商品分量：可以 保质期：没看 新鲜度：还行 口感味道：不错 ,-,-,2021-06-25
45,t**4,口味: 肉松饼1kg+送同款1kg（发4斤/箱约55-60个仅28.8元),好评,商品分量：带包装是正好，不是净含量的。 新鲜度：外壳太硬了，里面的肉松不子昂是真的。 口感味道：很硬巴，这个肉松也很假的，不好吃。 ,-,-,2021-06-21
46,z**1,口味: 肉松饼250g+送同款250g（发500g/箱仅7.9元）限量,好评,没吃过这么难吃的肉松饼，这应该不叫做肉松饼，简直了太难吃，朋友来家吃了一口就吐了，问这是假的吧。 劝没有买过的不要买，买了也是没法吃。垃圾！！！！ ,-,-,2021-06-26
47,t**0,口味: 肉松饼250g+送同款250g（发500g/箱仅7.9元）限量,好评,不错，昨天下的单，今天就到了，皮薄里面肉松多。,-,-,2021-06-10
48,t**0,口味: 肉松饼250g+送同款250g（发500g/箱仅7.9元）限量,好评,刚下单不久就发货了🌂下次还会购买🌂昧道还可以🌂包装和味道都不错⛄你给我寄两包咖啡槟榔是几个意思？⛄价格也实惠☔不过看配料表绿豆比豌豆多🌃这次感觉那个饼皮太厚了🌄口感比外面好吃☁味道不错就是偏干🌆非常意外！非常好食！瞓咗啲比身邊同事食🌅新鲜度：近期生产的🌃,-,-,2021-06-10
49,0**e,口味: 肉松饼500g【送】海苔味肉松饼400g（仅16.9元）,好评,这个可以有，真不错，两箱有优惠 ,-,-,2021-06-21
50,t**9,口味: 肉松饼250g+送同款250g（发500g/箱仅7.9元）限量,好评,很好吃，皮薄馅足，非常美味,-,-,2021-06-26
51,t**1,口味: 肉松饼250g+送同款250g（发500g/箱仅7.9元）限量,好评,日期挺新鲜的，这个价格很便宜。 ,-,-,2021-06-26
52,t**6,口味: 肉松饼250g+送同款250g（发500g/箱仅7.9元）限量,好评,保质期：这个肉松饼好吃，比店吗20多元一斤没差到那里，日期新鲜，包装好，味道好，直的购买的好食品。 ,-,-,2021-06-19
53,爱**妈,口味: 抹茶味绿豆饼250g+送250g（发500g/箱）仅6.9元,好评,馅料挺足的，就是有点腻，不爱吃甜的要慎重。我喜甜所以觉得还好 ,-,-,2021-06-19
54,z**3,口味: 肉松饼250g+送同款250g（发500g/箱仅7.9元）限量,好评,日期新鲜，肉松饼口感不错很柔软，份量很足包装可以。 ,-,-,2021-06-18
55,t**6,口味: 肉松饼250g+送同款250g（发500g/箱仅7.9元）限量,好评,"好评！此评价虽然才两个字,但语法严谨，用词工整,结构巧妙，朗朗上口，可见言简意赅，再加上以感叹号收尾,实在是点睛之笔，妙笔生花，意境深远,照应前文升华主题。 ",-,-,2021-06-21
56,绝**雄,口味: 肉松饼500g+送同款500g（发1000g/箱仅14.8元）热卖,好评,分量很足，口感不错，好吃。 ,-,-,2021-06-21
57,j**6,口味: 肉松饼250g+送同款250g（发500g/箱仅7.9元）限量,好评,包装品质：包装好 商品分量：分量足 保质期：长 新鲜度：日期新 口感味道：口感好，味道不错 发货快，物流给力，5分好评 ,-,-,2021-06-15
58,八**白,口味: 肉松饼150g+送150g（发300g/箱仅5.9元）散装尝鲜,好评,包装完好独立充气小包装，密封保鲜，味道很好吃，解馋还解饿，有机会还囤货 ,-,-,2021-06-20
59,花**5,口味: 肉松饼250g+送同款250g（发500g/箱仅7.9元）限量,好评,宝贝收到了，很好吃，日期也很新鲜 ,-,-,2021-06-22
60,只**8,口味: 肉松饼500g+送同款500g（发1000g/箱仅14.8元）热卖,好评,说实话，不太好吃，没有肉松，味道也一般，个头也不大，好在不贵，共28个，约5毛一个 ,-,-,2021-06-23
61,t**1,口味: 肉松饼500g+送同款500g（发1000g/箱仅14.8元）热卖,好评,刚开始吃三个。不好吃，那个皮硬硬的，馅料大多数是绿豆沙，一口进去我觉得就没吃到过肉松。去荒野求生的时候带上这些饼***会觉得它很香👍,-,-,2021-06-26
62,钟**z,口味: 肉松饼150g+送150g（发300g/箱仅5.9元）散装尝鲜,好评,和平常吃的区别不大，不建议买太多，肉松饼，吃多了会腻 ,-,-,2021-06-26
63,l**e,口味: 肉松饼250g+送同款250g（发500g/箱仅7.9元）限量,好评,保质期很新，便宜，分量很足，味道一般 ,-,-,2021-06-19
64,谢**s,口味: 肉松饼500g【送】芝士流心蛋黄酥6枚（仅18.9元）,好评,吃着吃着，吃出来麻绳，还有跟老鼠屎一样的黑色，商家说火候大了，可能火候大了把一根烧糊了吧，太难吃了，比起超市的根本吃不了这个，硬邦邦的,-,-,2021-06-24
65,t**8,口味: 肉松饼150g+送150g（发300g/箱仅5.9元）散装尝鲜,好评,已经收到货了，很好的，值得推荐购买的一款，喜欢的一款 ,-,-,2021-06-25
66,t**2,口味: 抹茶味绿豆饼250g+送250g（发500g/箱）仅6.9元,好评,这个绿豆饼真的不行，齁腻齁腻的…吃着的感觉跟拌了糖精，吃了第二天就拉肚子，真的服，拉了两天 ,-,-,2021-06-22
67,金**2,口味: 抹茶味绿豆饼250g+送250g（发500g/箱）仅6.9元,好评,一共13个。太甜了。划算。 ,-,-,2021-06-22
68,c**n,口味: 肉松饼150g+送150g（发300g/箱仅5.9元）散装尝鲜,好评,我吃着挺好吃的，俩孩子也挺喜欢吃的！,-,-,2021-06-23
69,d**0,口味: 肉松饼500g【送】抹茶味绿豆饼500g（仅15.9元）,好评,😃好吃！还很美观！墙裂推荐！有需要再回购！,-,-,2021-06-24
70,t**5,口味: 肉松饼250g+送同款250g（发500g/箱仅7.9元）限量,好评,VBvvry的产品还是很不错的，小巧玲珑，携带方便 ,-,-,2021-06-20
71,虎**校,口味: 肉松饼250g+送同款250g（发500g/箱仅7.9元）限量,好评,味道很不错，日期也很新,-,-,2021-06-22
72,木**2,口味: 抹茶味绿豆饼250g+送250g（发500g/箱）仅6.9元,好评,包装品质：合格 商品分量：大 保质期：长 新鲜度：好 口感味道：好 ,-,-,2021-06-25
73,t**0,口味: 肉松饼250g+送同款250g（发500g/箱仅7.9元）限量,好评,满满一箱，看着还不错。 ,-,-,2021-06-10
74,小**伦,口味: 肉松饼150g+送150g（发300g/箱仅5.9元）散装尝鲜,好评,差评 差评 一点肉松的味道都没有 外皮硬的不能在硬了 非常不满意 ,-,-,2021-06-22
75,陈**芸,口味: 肉松饼500g【送】其妙蛋黄酥12枚（仅19.8元）热卖,好评,味道很好，比实体要便宜好多，每一种拍了一箱，可以做早餐做零食都OK，值得推荐的一家店铺，还会继续支持,-,-,2021-06-24
76,t**6,口味: 肉松饼250g+送同款250g（发500g/箱仅7.9元）限量,好评,商品分量：很足 保质期：长 新鲜度：新鲜 口感味道：很好吃 ,-,-,2021-06-17
77,q**丫,口味: 肉松饼500g+送同款500g（发1000g/箱仅14.8元）热卖,好评,好吃，个头大 ,-,-,2021-06-22
78,9**m,口味: 肉松饼150g+送150g（发300g/箱仅5.9元）散装尝鲜,好评,便宜实惠，看着也新鲜，味道也不错。,-,-,2021-06-25
79,幸**9,口味: 肉松饼150g+送150g（发300g/箱仅5.9元）散装尝鲜,好评,包装好，物流快，价格实惠，比超市便宜多了,-,-,2021-06-25
80,t**3,口味: 肉松饼250g+送同款250g（发500g/箱仅7.9元）限量,好评,口感味道：挺好的 包装品质：挺好的 保质期：日期新鲜 ,-,-,2021-06-25
81,留**光,口味: 抹茶味绿豆饼250g+送250g（发500g/箱）仅6.9元,好评,很喜欢这个味道，价格还是非常实惠，建议尝尝,-,-,2021-06-25
82,t**9,口味: 抹茶味绿豆饼250g+送250g（发500g/箱）仅6.9元,好评,发货快、进去实惠。14个 夏天你要多吃绿豆。￼好吃。 ,-,-,2021-06-26
