数据下载时间：2021-06-30 17:21:10 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/646256109432/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
19,m**7,口味: 原味3盒+藤椒3盒,好评,整体评价：算起来10块钱一盒，等于点一份外卖 胀包问题：包装简单，盒子有些破损 口感味道：买了两种口味，原味不错 新鲜度：6月份生产的，日期新鲜，保质期7个月  ,-,-,2021-06-23
20,t**2,口味: 【爆款必买】原味6盒,好评,包装品质：包装很好，盒装，卫生，口感跟我在线下吃的一样，直播间促销购买还是可以的，原价有点贵，唯一不足就是粉丝一包量太少，能吃的人不够两口，希望量放足一些，总体还是不错😊 ,-,-,2021-06-23
21,老**姐,口味: 原味3盒+藤椒3盒,好评,整体评价：总体合格，但是并没有好吃到非吃不可的地步，只是普通好吃而已，值得尝试，但不会回购了。我宁愿吃合味道。 胀包问题：没有 包装品质：新鲜密封 口感味道：可以的，把食物处理的很好，汤包味道也不错，但是没那么惊艳。不过还是给个五分吧，对得起价格。 新鲜度：新鲜 ,-,-,2021-06-23
22,c**2,口味: 藤椒6盒,好评,整体评价：老顾客哦，一直回购中。好吃方便。 胀包问题：无 包装品质：佳 口感味道：好吃哦 新鲜度：生产日期就一个月，新鲜。 ,-,-,2021-06-23
23,q**0,口味: 原味6盒,好评,包装品质：独立纸盒包装，里面是真空包装 新鲜度：日期好新鲜618佳琦直播间买的，到货也很快 整体评价：还没尝试，后面吃了再来追评 ,-,-,2021-06-21
24,婕**高,口味: 藤椒6盒,好评,以前在别家买过，这次在佳琦直播间买的，直播间价格在加上618满减凑单总体价格真的很便宜了，我感觉以后都很难买到这个价格了，平时十几块一盒，这次买的六块多一盒。原味藤椒都吃过，最喜欢藤椒，又辣又麻的适合我的口味，而且里面的鸭血鸭肝鸭肠什么的都是真材实料看得见的，蛮好吃的，不是南京人也喜欢吃这个，推荐 ,-,-,2021-06-21
25,c**2,口味: 藤椒6盒,好评,整体评价：好吃一直回购的老顾客。 胀包问题：无 包装品质：很好 口感味道：好吃。 新鲜度：射五月生产，不到一个月。 ,-,-,2021-06-23
26,e**0,口味: 【爆款必买】原味6盒,好评,很好吃，是记忆里的味道，没打开之前担心鸭血会腥，因为我是个不吃鸭血的人，做好了尝了一下，鸭血口感奇妙，没有腥味，有调料的香气，整体来说不错👍,-,-,2021-06-23
27,f**4,口味: 原味6盒,好评,这个也是第二次买了，第一次做的时候很爱吃，而且里边的料儿很足，那些鸭肝之类的咸淡儿进去的刚刚好，很喜欢，但是快递依旧很暴力，把我的盒子都给压瘪了，上回也是这个样子 ,-,-,2021-06-21
28,小**店,口味: 【爆款必买】原味6盒,好评,整体评价：很好。干净清爽卫生方便 口感味道：很好吃。比店里的还要好吃。 新鲜度：很新鲜的味道。内脏包也很好吃。超赞。下次还要买。太划算了。不出家门就能吃到正宗的南京鸭血粉丝。 ,-,-,2021-06-20
29,c**7,口味: 原味3盒+藤椒3盒,好评,心心念念的鸭血粉丝汤到了，料包十足，鸭血块多，还有卤肝包，煮了藤椒味的，不想太辣，藤椒少放点，粉丝好吃，汤建议加多点煮，味道还是不错的，个人放了点小白菜，败笔，下次放点豆腐皮估计会好吃。 ,-,-,2021-06-21
30,早**5,口味: 【爆款必买】原味6盒,好评,非常好吃，收到货就马上煮了一碗，里面鸭血和鸭肠鸭肝分量很足，加了一点醋提鲜，怕辣没有放辣油包，一口气吃完了。,-,-,2021-06-21
31,t**6,口味: 【爆款必买】原味6盒,好评,真的要多放水，咸。和店里现煮的肯定没法比，但也有了8、9成，总体来说，不错，做活动时买划算。 ,-,-,2021-06-23
32,呆**5,口味: 原味6盒,好评,太好吃了吧，里边的配料给的很足，鸭血包，给的很多，里边有很多鸭血，其他鸭杂一类的，给的也很多，自己在家一煮，太方便了，满满的一大碗，比在外边吃值太多了，很好吃，吃到最后，把汤都喝了，哈哈哈，真的是太好吃了，快递也是很快，下单后没几天就收到了，哈哈哈，太好了,-,-,2021-06-21
33,华**4,口味: 原味3盒+藤椒3盒,好评,收到立马煮了一包藤椒的，自己加了蔬菜和丸子，味道浓郁很棒！换算了一下一盒也有500卡，比想象的高(´•̥  ̯ •̥`) ,-,-,2021-06-24
34,z**o,口味: 【爆款必买】原味6盒,好评,以前吃过这个牌子，味道很正，自己操作煮起来也很简单，在家就能轻轻松松吃上一碗鸭血粉丝汤，正好遇到直播有活动，即可下单～ ,-,-,2021-06-21
35,爱**茉,口味: 原味3盒+藤椒3盒,好评,只先尝了原味 肝肠血粉汤都好正点 说明让放650ml水是为了把原汤淡化些 不要吝惜放水 不然会咸 整体很赞！ ,-,-,2021-06-26
36,l**a,口味: 原味3盒+藤椒3盒,好评,这个包装太可了，又可爱又有质感，拿到立马拆了一包藤椒味吃了，浓浓的鸭血粉丝汤味，有鸭血有卤肝，份量也够我一个人吃，汤都喝完了，会回购 ,-,-,2021-06-22
37,喜**剧,口味: 藤椒6盒,好评,5月5日的 日期 每次回味赞都像清库存一样，日期总是不给力  ,-,-,2021-06-20
38,t**6,口味: 【爆款必买】原味6盒,好评,17号下单    20号到货    快递的速度还行    外包装完好    六盒一个不少    618搞活动    价钱便宜    还没吃    不知道味道怎么样    好吃再来购买 ,-,-,2021-06-23
39,t**4,口味: 原味6盒,好评,包装超级好看，味道也超级赞，和在南京吃的一样好吃，佳琦直播间的东东还是不错的，不会让你失望，昨天收，从早当早餐了👍👍👍,-,-,2021-06-21
40,x**2,口味: 原味3盒+藤椒3盒,好评,整体评价：味道很不错，藤椒味麻麻的很爽口！ 下次品尝原味的时候再来追评！ ,-,-,2021-06-21
41,5**转,口味: 原味6盒,好评,超级喜欢这款粉丝汤，汤超级好喝 口感味道：棒 包装品质：好 新鲜度：新鲜 ,-,-,2021-06-26
42,董**0,口味: 原味3盒+藤椒3盒,好评,整体评价：第一次在李佳琦直播间买了以后就喜欢上这个味道了，终于等到零食节我又来了！ 这次发货速度好快！刚收到就已经吃了一包藤椒的！赞赞赞 ,-,-,2021-06-21
43,老**晴,口味: 【爆款必买】原味6盒,好评,整体评价：OK 胀包问题：无 包装品质：OK 口感味道：非常咸 口味清淡的考虑把肝肠袋里的盐水滤掉再顺便煮把青菜吧 新鲜度：OK ,-,-,2021-06-22
44,z**6,口味: 原味6盒,好评,分量比较少，鸭肝很柴，煮出来的汤齁咸😶只是习惯好评，没尝试过的可以趁活动入手试一下，不推荐原价购买。,-,-,2021-06-21
45,水**y,口味: 【爆款必买】原味6盒,好评,第一次买，觉得还可以╮(￣▽￣)╭活动价格可以接受，宅在家里不爱出去，可以吃到鸭血粉丝～还是不错的(*๓´╰╯`๓)♡ ,-,-,2021-06-22
46,丢**s,口味: 原味3盒+藤椒3盒,好评,李佳琦直播间买的，用了直播间红包雨价格超级合算……我老公喜欢吃鸭血粉丝，给他买的，他说很好吃料比较足，他很喜欢，会继续回购的！ ,-,-,2021-06-21
47,陌**亭,口味: 原味3盒+藤椒3盒,好评,李佳琪直播间买的很便宜，收到货就煮了一份，鸭肝超级败好感，很咸，还吃到了一块巨巨巨巨巨巨苦的，难受。汤料和粉丝味道不错，鸭血应该挺干净的，但口感一般。毕竟是速食类的产品还便宜，算还行吧。,-,-,2021-06-20
48,t**9,口味: 【爆款必买】原味6盒,好评,比店里的好吃，味道更浓，料也多，也是是鸭血和鸭肝，而且直播间也很便宜，自己煮也特别快，很香，希望下次还会上，还想回购。 ,-,-,2021-06-24
49,晶**7,口味: 原味6盒,好评,整体评价：挺不错的，算是吃过的最好吃的鸭血粉丝汤了 口感味道：鸭肠鸭血鸭肝都不错 ,-,-,2021-06-21
50,木**1,口味: 【爆款必买】原味6盒,好评,包装品质：包装非常好诶。  口感味道：好吃！！鸭血鸭货很多！！！ 针不戳，直播间买的很合适 ,-,-,2021-06-21
51,t**u,口味: 【爆款必买】原味6盒,好评,到手就煮了一袋儿 ，汤味正，料足 ，价格比外面买合适 ,-,-,2021-06-21
52,夕**照,口味: 原味3盒+藤椒3盒,好评,一直都想吃，趁着活动入手。吃下来感觉鸭血不是很脆，没有很好吃，卤肝蛮咸的，还带着点腥气，粉丝煮了很久才软，最好吃的就是小豆泡，辣椒油也蛮香的，没有我在南京时候吃的好吃。总之还行吧，尝尝味道就行，应该不会回购 ,-,-,2021-06-21
53,小**0,口味: 原味3盒+藤椒3盒,好评,整体评价：吃了多年的实体店鸭血粉丝，现在竟然在家也能吃了，忘记拍照了，味道不错差不多 ,-,-,2021-06-24
54,木**1,口味: 【爆款必买】原味6盒,好评,适合口味清淡的小伙伴们，料足，好吃😋 ,-,-,2021-06-21
55,记**好,口味: 【爆款必买】原味6盒,好评,味道比较清淡，分量太少了，几口粉就吃完了，味道不错，我挺喜欢 ,-,-,2021-06-26
56,j**f,口味: 原味3盒+藤椒3盒,好评,整体评价：李佳琦直播间买的，他之前卖了几次我有点心动但害怕不好吃所以一直没下单。后来朋友和我说她买了好吃的，趁着618大促期间我就放心的购入了，物流还算快，唯一不足的是其中有一盒的侧边盒子开了，不影响我食用我也就不找客服了。言归正传，煮起来很方便，味道不错，挺满足的，比堂食或叫外卖的要好吃很多。 胀包问题：无 包装品质：还行 口感味道：不错，鸭血蛮多的 新鲜度：6月生产的，新鲜 ,-,-,2021-06-21
57,鬼**希,口味: 原味3盒+藤椒3盒,好评,这个鸭血粉丝汤太赞了，直播间购买的10块钱一盒，真的很划算。,-,-,2021-06-24
58,张**t,口味: 原味6盒,好评,好吃！味道十分鲜美 大学吃了四年的回味 ！非常喜欢 满意 自己煮的加了香菜 ,-,-,2021-06-23
59,c**e,口味: 【爆款】原味6盒,好评,怀念老家的鸭血粉丝，好多次在直播间看到但是都没有买到，这次总算让我抢到了，迫不及待就煮了一碗，好吃！要是再辣点就更好了 ,-,-,2021-06-21
60,d**猪,口味: 【爆款必买】原味6盒,好评,买的原汤味的。带辣椒包。撒上去味道棒棒哒。鸭汤味很浓厚。第二天锅里还有这个味道。鸭血很嫩。 ,-,-,2021-06-21
61,c**i,口味: 【爆款必买】原味6盒,好评,无限回购！新版的加了香葱包，感觉换成香菜包会更正宗！ ,-,-,2021-06-21
62,恬**头,口味: 藤椒6盒,好评,回味赞的鸭血粉丝汤是多次回购了，这次买了两份，已经吃掉两盒了。用小电锅煮一份，加点配菜，味道鲜美 ,-,-,2021-06-22
63,w**6,口味: 【爆款】原味6盒,好评,从小吃到大的，现在很少去店里吃了，看到直播间有就入了，味道跟店里的真的很像，还原度可以说很高了 ,-,-,2021-06-22
64,s**8,口味: 原味3盒+藤椒3盒,好评,这个真的是反复回购的产品了 特别好吃 而且料特别足 跟南京本地吃的一样 做起来也非常方便 ,-,-,2021-06-23
65,孤**势,口味: 原味3盒+藤椒3盒,好评,超大一箱，之前朋友买了尝过一包，好吃清淡没那么油腻，很容易就煮软了，这次直播间看到，果断下单，不知道吃啥的时候是个很适合的选择。 ,-,-,2021-06-21
66,w**0,口味: 原味6盒,好评,好吃，二期做起来很方便，快递包装很完整，very奶斯，拆开看了下，试了一下品质一如既往的好，而且都是一直回购的店家，物有所值，以后会经常来的 ,-,-,2021-06-22
67,f**1,口味: 原味6盒,好评,还可以，煮的时候水要多放点，不然会有点咸，然后这个血吃不惯，太腥了。别的都没问题 ,-,-,2021-06-26
68,x**5,口味: 原味3盒+藤椒3盒,好评,已经吃了，味道不错，里面的鸭血和肝给的都很多呢，佳琦推荐，值得购买 ,-,-,2021-06-25
69,酱**宝,口味: 原味3盒+藤椒3盒,好评,整体评价：好吃，刚收到货就煮了一包，美滋滋，全五星好评，希望下次活动还能抢到！  ,-,-,2021-06-21
70,你**蜜,口味: 原味6盒,好评,好吃，真的有南京店里鸭血粉丝汤那味。就是一份份量偏少，适合当宵夜。整体有点偏咸。看有人觉得腥，感觉腥味主要来自鸭肝 ,-,-,2021-06-25
71,一**路,口味: 原味3盒+藤椒3盒,好评,好吃，超级好吃，可能我本来就不喜欢鸭血，所以不太喜欢鸭血，但不妨碍我喜欢汤和粉丝还有肠那些 ,-,-,2021-06-21
72,l**1,口味: 【爆款】原味6盒,好评,味道很好，有鸭血有鸭肠鸭肝，就是鸭肠不够脆。粉丝分量太少，多一点就好了 ,-,-,2021-06-22
