数据下载时间：2021-06-30 09:45:31 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/641121532948/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
24,小**彤,口味: 【买1送1】蟹香蛋黄味500g（送山药薄脆饼干500g）,好评,日期新鲜，饼干很酥脆，孩子很爱吃 ,-,-,2021-06-21
25,w**f,口味: 【买1送1】蟹香蛋黄味500g（送海鲜味锅巴500g）,好评,包装品质：好 商品分量：好 保质期：没问题 新鲜度：好 口感味道：鲜香，对于不喜咸的我来说稍有些咸，如果再淡点就好了，总体还是不错的 ,-,-,2021-06-19
26,t**5,口味: 【店铺热卖】蟹香锅巴500g【买1送1】约26包共1000g,好评,锅巴很香，非常好吃，非常脆，关键买的又很便宜。独立包装，每个包装里面有两个。,-,-,2021-06-07
27,t**7,口味: 【店铺热卖】蟹香锅巴500g【买1送1】约26包共1000g,好评,包装结实，量很多，脆脆的很好吃！日期很新鲜，味道很佳！ ,锅巴脆脆的，味道很香，小孩子特别喜欢吃，当做休闲零食小吃也可以。姐妹们冲，买它,-,2021-06-21
28,t**5,口味: 【买1送1】蟹香蛋黄味500g（送海鲜味锅巴500g）,好评,好好吃哦~ 最主要是很香很脆不粘牙~--吃完满口喷喷香 份量足，性价比超高，值得回购的一款锅巴~ 吃起来挺香的。比普通的糯米锅巴味道足一些 ,-,-,2021-06-07
29,m**哦,口味: 【店铺热卖】蟹香锅巴500g【买1送1】约26包共1000g,好评,非常好吃的蟹黄锅巴，嘎嘣脆，而且味道很棒，吃完一个还想再吃一个。已经推荐给朋友了性价比非常高🍀，可以放心购买👍，而且值得购买😜！ ,-,-,2021-06-17
30,孤**月,口味: 【买1送1】蟹香蛋黄味500g（送山药薄脆饼干500g）,好评,大家要注意一定要看清楚了，不要相信他的买一赠一，有欺骗行为。 ,-,-,2021-06-26
31,琦**9,口味: 【掌柜推荐】蟹香锅巴1000g【买1送1】约52包共2000g,好评,包装品质：好 商品分量：足 保质期：新日期 新鲜度：很酥脆 口感味道：超级好 ,-,-,2021-06-17
32,t**4,口味: 【店铺热卖】蟹香锅巴500g【买1送1】约26包共1000g,好评,之前在朋友家吃到这种小吃感觉很好吃，但后来在超市也没注意有，现在在网上找到了，开心，一下买了好几箱各种口味（咳咳因为太好吃所以下的太快）。好吃不贵，绝对是零食中的重要角色～,-,-,2021-06-18
33,霓**多,口味: 【掌柜推荐】蟹香锅巴1000g【买1送1】约52包共2000g,好评,味道还不错，蟹香味很浓，刚早上拿到就吃起来了，份量也很多，赞👍,-,-,2021-06-21
34,梦**1,口味: 【店铺热卖】蟹香锅巴500g【买1送1】约26包共1000g,好评,我们家大人小孩都特喜欢吃这款锅巴，网上比实体店便宜很多，而且还是几种口味混合搭配，喜欢的可以下单了 ,-,-,2021-06-20
35,t**4,口味: 【店铺热卖】蟹香锅巴500g【买1送1】约26包共1000g,好评,非常好吃，价格实惠，服务态度很好，物流很快 ,-,-,2021-06-18
36,l**8,口味: 【店铺热卖】蟹香锅巴500g【买1送1】约26包共1000g,好评,蟹味蛋黄锅巴收到几天了.品尝后评价.好吃脆香.蟹味浓.是一道下酒菜.也是零食小吃[大爱][大爱] ,-,-,2021-06-20
37,一**9,口味: 【店铺热卖】蟹香锅巴500g【买1送1】约26包共1000g,好评,包装换新，味道变差，口感变硬，不再酥了，硬的有点硌牙，味道淡了，新品可能油少了，太硬，不再买了 ,-,-,2021-06-26
38,布**登,口味: 【店铺热卖】蟹香锅巴500g【买1送1】约26包共1000g,好评,分量足，都是小袋包装，不怕一袋没吃完会潮了。收到就立马拆了吃，非常好吃，跟之前买的味道一样！都是近期生产，吃完还会再次回购！ ,-,-,2021-06-06
39,t**n,口味: 【店铺热卖】蟹香锅巴500g【买1送1】约26包共1000g,好评,挺好吃，同事尝了一包也买了。 早上去了给周围同事都分了，没分给讨厌的同事，结果这女的下午站在我同事电脑边拿起来就吃。无语了 希望她喜欢吧，毕竟谁都有她没有，凭着脸皮厚吃到了也算吃到了,-,-,2021-06-23
40,c**n,口味: 【店铺热卖】蟹香锅巴500g【买1送1】约26包共1000g,好评,这个锅巴好吃，蛋黄味浓，酥脆咸香，准备再买点，小孩也喜欢吃,-,-,2021-06-26
41,w**0,口味: 【掌柜推荐】蟹香锅巴1000g【买1送1】约52包共2000g,好评,包装品质：味道还是第一次买的最好吃！这次运输也太差了，箱子直接变形，里面一晃听见碎锅巴的声音. ,-,-,2021-06-23
