数据下载时间：2021-06-29 19:54:52 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/628768693594/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
40,m**g,口味: 黑芝麻味,好评,黑芝麻太少了，没吃出来芝麻的味道,-,-,2021-06-25
41,尹**e,口味: 黑芝麻味,好评,南无阿弥陀佛🙏 我每天发一次南无阿弥陀佛，您每天看见了就念一句【南无阿弥陀佛】每天念一句，每天灭八亿四千劫罪，愿佛力加持早日灭尽您无始劫来的罪业，身无病苦，六时吉祥，幸福圆满，阿弥陀佛🙏🙏🙏,-,-,2021-06-18
42,t**4,口味: 黑芝麻味,好评,黑芝麻丸收到了，物流很快，黑芝麻味很足，不错的一款产品。,-,-,2021-06-16
43,t**6,口味: 黑芝麻味,好评,好吃，满满的芝麻味儿，价钱实惠,-,-,2021-06-16
44,义**2,口味: 桑椹黑芝麻味,好评,收到后吃了几颗，很好吃，下次还会购买,-,-,2021-06-21
45,宝**5,口味: 黑芝麻味,好评,还可以，跟想象中比较接近，是目前买过最好吃的芝麻丸，不干，油油的，符合我的口味。,-,-,2021-06-12
46,恵**3,口味: 黑芝麻味,好评,好好吃，已经是第二次购买啦！,-,-,2021-06-24
47,t**0,口味: 黑芝麻味,好评,还是可以的，不是很甜，也软糯香。,-,-,2021-06-22
48,t**0,口味: 黑芝麻味,好评,芝麻有点太细腻了 一般好吃,-,-,2021-06-22
49,t**3,口味: 黑芝麻味,好评,第二次回购了，很香很好吃～,-,-,2021-06-26
50,笨**龟,口味: 黑芝麻味,好评,买给老爸的,-,-,2021-06-21
51,张**g,口味: 黑芝麻味,好评,买了好多瓶了，无限回购,-,-,2021-06-25
52,y**1,口味: 拍3件更优惠！,好评,好吃 发油哈哈 好香滴，老人孩子都能吃,-,-,2021-06-16
53,t**6,口味: 红豆薏米味,好评,买了三个味 这个还不错,-,-,2021-06-16
54,浪**猴,口味: 黑芝麻味,好评,满满的芝麻味，真好吃,-,-,2021-06-25
55,w**5,口味: 黑芝麻味,好评,味道非常好，值得购买,-,-,2021-06-21
56,孙**6,口味: 黑芝麻味,好评,好味，又有回购,-,-,2021-06-24
57,t**9,口味: 黑芝麻味,好评,喜欢，很好吃，这次试回购,-,-,2021-06-21
58,t**9,口味: 黑芝麻味,好评,芝麻丸收到了，尝了一下不错，是一股浓浓的芝麻香味，很好吃，下次还来你家购买,-,-,2021-06-17
59,t**3,口味: 黑芝麻味,好评,还不错，很香,-,-,2021-06-26
60,t**8,口味: 黑芝麻味,好评,山楂的不好吃,-,-,2021-06-17
61,张**g,口味: 黑芝麻味,好评,无限回购,-,-,2021-06-25
62,t**9,口味: 黑芝麻味,好评,很喜欢吃！,-,-,2021-06-21
63,c**9,口味: 黑芝麻味,好评,收货后开了一瓶开吃……，香……软……不是很甜的感觉！总体评论就是好吃！如果价格能够再优惠的话就更加好了！听说这个公司口碑不错所以支持一下！,-,-,2021-05-14
64,t**3,口味: 黑芝麻味,好评,口感很细腻，香香的，包装很好，还会回购哦,-,-,2021-06-26
65,l**7,口味: 拍3件更优惠！,好评,真的是一点都不划算,-,-,2021-06-22
66,t**1,口味: 黑芝麻味,好评,已经是第二次购买了 。芝麻味很浓，很好吃 。感觉会长头发 。,-,-,2021-06-19
67,t**1,口味: 黑芝麻味,好评,包装好精致，芝麻味很浓，挺好吃的,-,-,2021-06-14
68,胡**6,口味: 黑芝麻味,好评,味道很不错，性价比ok,-,-,2021-06-18
69,十**4,口味: 黑芝麻味,好评,感觉包装挺好的，这个密封罐还是不错的，不是很甜这个芝麻丸,-,-,2021-06-18
70,t**5,口味: 桑椹黑芝麻味,好评,味道还算可以。香甜适中，不腻。,-,-,2021-06-16
71,x**9,口味: 黑芝麻味,好评,多次购买了，好吃,-,-,2021-06-17
72,q**g,口味: 红豆薏米味,好评,挺好吃的，口感香，干干净净。,-,-,2021-06-20
73,l**3,口味: 黑芝麻味,好评,很好食用，味道不错。非常香。,-,-,2021-06-18
74,k**8,口味: 桑椹黑芝麻味,好评,已经是回购了，特别好吃！最好吃的还是黑芝麻味,-,-,2021-06-17
75,a**3,口味: 红豆薏米味,好评,比黑芝麻丸多了红豆的味道,-,-,2021-06-16
76,t**9,口味: 黑芝麻味,好评,到货很快。味道很香醇,-,-,2021-06-18
77,t**4,口味: 黑芝麻味,好评,很好吃，对身体有好处，在来一个疗程呢,-,-,2021-06-16
78,f**e,口味: 红豆薏米味,好评,味道不错，感觉挺好。,-,-,2021-06-23
79,l**g,口味: 桑椹黑芝麻味,好评,黑芝麻味道很浓郁。,-,-,2021-06-20
80,z**8,口味: 黑芝麻味,好评,这是我买过芝麻丸中最难吃的一个，味道不正，祖艾妈推荐说瞎话了，忽悠人，最近我买了好几家店铺芝麻丸，属这个最难吃,吃过才来追评评价，口感软糯，但是不怎么香，吃不出芝麻的味道，口感一般，买了好几个品牌的黑芝麻丸，大家品尝，这款是最一般般的，个人真实评价，不会在回购，,-,2021-06-17
81,萌**有,口味: 黑芝麻味,好评,好香的味道，就是感觉油有点大。  说好的减肥原地泡汤了，希望我在夏天来临之前能轻松变瘦！虽然我吃了很多，但是，我希望我可以变瘦！薯片真滴喜欢，想变瘦也是更真滴，真情实感滴那种！,-,-,2021-06-20
82,君**倾,口味: 黑芝麻味,好评,一如既往的好吃，已经买了很多次了,-,-,2021-06-16
83,w**5,口味: 黑芝麻味,好评,宝贝好吃的不得了，家人都特别特别喜欢。全五分！喜欢的朋友抓紧时间购买，好的宝贝你值得拥有！客服非常热情。恭喜发财💰恭喜发财💰,-,-,2021-05-18
84,w**w,口味: 黑芝麻味,好评,好吃，芝麻味很香，和芝麻糊的味道还是有点区别的，打开小包装还挺油的，希望头发变得更好,-,-,2021-06-13
85,t**6,口味: 黑芝麻味,好评,收到货打开，一股芝麻香扑鼻而来，含在嘴里甜而不腻，对头发好就帮爸爸来吃，第三盒就三颗了，真的是很不错黑芝麻丸,-,-,2021-06-16
86,三**y,口味: 黑芝麻味,好评,夫人让买 什么功效？不可知？,-,-,2021-06-21
87,t**9,口味: 黑芝麻味,好评,购买了好多次了。真的不错,-,-,2021-06-19
88,z**琦,口味: 黑芝麻味,好评,有点香，糯糯的，还可以。祖艾妈推荐😀,-,-,2021-06-12
89,篮**爱,口味: 黑芝麻味,好评,宝贝很不错，今天收到啦！快捷方便，价值实在，很满意的购物体验,-,-,2021-05-17
90,r**4,口味: 黑芝麻味,好评,味道不错 不难吃 成分表看着也很好 没有乱七八糟的添加剂 我每天食用一颗 希望对产后脱发有作用,-,-,2021-06-19
91,肖**好,口味: 黑芝麻味,好评,卖家发货很快，包装完好，吃完还会再来,-,-,2021-06-15
92,雨**8,口味: 黑芝麻味,好评,非常香，很好吃,-,-,2021-06-18
93,王**3,口味: 黑芝麻味,好评,很好吃，吃完再买。,-,-,2021-06-18
94,t**1,口味: 黑芝麻味,好评,没吃呢但是那个丸不是很圆,-,-,2021-06-23
95,优**7,口味: 黑芝麻味,好评,可以不错。,-,-,2021-06-24
96,h**o,口味: 黑芝麻味,好评,感觉就是黑芝麻糊，更稠一点的，不是很甜，吃多了 离心！而且非常小的包装，量少！感觉一般，不会再回购！,-,-,2021-06-18
97,雨**8,口味: 黑芝麻味,好评,很香，很好吃,-,-,2021-06-18
98,l**6,口味: 黑芝麻味,好评,很好吃，哈哈,-,-,2021-06-17
99,q**6,口味: 黑芝麻味,好评,芝麻粉团的球球，不是太甜很香，最近有点失眠脱发，搞点好东西补补,-,-,2021-05-30
100,t**0,口味: 黑芝麻味,好评,买一发二就给一袋,-,-,2021-06-22
101,f**8,口味: 黑芝麻味,好评,下午可以当点心吃，很不错。,-,-,2021-06-09
