数据下载时间：2021-06-30 17:34:08 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/536709759370/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
29,t**0,口味: 【常规】黑珍珠1kg,好评,不知道是包装垃圾，还是材料垃圾，每一包都有很多是烂成粉，成团的成团，粉成粉，我们消费者的钱是抢来的吗？,-,-,2021-06-25
30,盘**0,口味: 广禧快煮黑珍珠 500g,好评,包装优，煮5分钟闷5分钟，黑糖蜜1小时。不错哦～推荐！ ,-,-,2021-06-20
31,崔**3,口味: 【常规】黑珍珠1kg,好评,包装品质：好 口感味道：好买过很多次了，跟蜜雪的一样 ,-,-,2021-06-21
32,王**8,口味: 【快煮】琥珀珍珠500g,好评,选了快煮型试了试，方便美味微甜，物流也快,-,-,2021-06-21
33,林**8,口味: 【常规】黑珍珠1kg,好评,不错哦～ ,-,-,2021-06-24
34,h**8,口味: 【常规】黑珍珠1kg,好评,发货速度快，很容易煮，嚼劲很好 ,-,-,2021-06-24
35,t**3,口味: 【免煮】黑珍珠25g*5包+糖纳红豆20g*5包+椰果40g*5颗,好评,回家就冲泡上了，搭配喝特别好喝，跟外面买的一个味道太喜欢了,-,-,2021-06-15
36,浦**生,口味: 【常规】黑珍珠1kg,好评,喝了这一包珍珠，这么多，我是再也不想喝珍珠奶茶了。 ,-,-,2021-06-26
37,5**烨,口味: 【常规】黑珍珠1kg,好评,易碎 ,-,-,2021-06-25
38,w**5,口味: 【常规】黑珍珠1kg,好评,非常好的珍珠粉圆，自己煮的，带来给同事们泡奶茶喝，煮的很成功，放了一点，煮了一大瓶，现在吃的就剩半瓶了，非常好吃，有嚼劲，QQ弹弹的，赞👍 ,-,-,2021-06-08
39,m**e,口味: 【常规】黑珍珠1kg,好评,不错，拆袋闻到味道就觉得不会踩雷，一股奶茶店的同款味道，哈哈哈，第一次跟着步骤煮，完美做出Q弹的蒸煮，不过煮了半袋，有点多，吃不完放冰箱，隔夜后口感就一落千丈，建议吃多少煮多少 ,-,-,2021-06-09
40,成**0,口味: 【常规】黑珍珠1kg,好评,按照说明煮的，跟奶茶店的差不多,-,-,2021-06-23
41,没**后,口味: 【常规】黑珍珠1kg,好评,很好吃，喜欢，第二件已回购在路上！,-,-,2021-06-17
42,糖**4,口味: 广禧快煮黑珍珠 500g,好评,第二次买了，珍珠很好煮味道不错 ,-,-,2021-06-22
43,雯**o,口味: 【常规】黑珍珠1kg,好评,非常满意 包装非常好 还送了一个夹子  ,-,-,2021-06-21
44,张**3,口味: 【快煮】透明珍珠 500g,好评,买的透明的珍珠，挺好的 ,-,-,2021-06-21
45,t**8,口味: 【常规】黑珍珠1kg,好评,宝贝很不错👍，和外面买的一样好吃,-,-,2021-06-24
46,5**1,口味: 【常规】焦糖味珍珠 500g,好评,自己做奶茶用，没想到这些材料如此便宜 ,-,-,2021-06-15
47,空**5,口味: 【快煮】黑珍珠1kg,好评,好吃，小孩很喜欢吃，比奶茶店实惠多了。,-,-,2021-06-19
48,t**3,口味: 【常规】黑珍珠1kg,好评,昨天煮了，和奶茶店的味道一样，QQ弹弹的，真不错！可以在家自制奶茶了，棒棒哒！,-,-,2021-06-15
49,静**雅,口味: 广禧快煮黑珍珠 500g,好评,珍珠一如既往的好吃，已经是买了第三包了，快煮黑珍珠，热水煮三分钟就可以了，很快，软软的，吃起来Q弹Q弹的 ,-,-,2021-06-19
50,t**4,口味: 【常规】黑珍珠1kg,好评,珍珠一下水都黏成一坨了 弹性还是很好的 就是一坨没办法吃 只能扔掉,-,-,2021-06-24
51,欧**博,口味: 常规黑珍珠1kg,好评,此用户没有填写评价。,珍珠不太好弄,-,2021-01-31
52,s**筠,口味: 【快煮】黑珍珠1kg,好评,吃惊！_(:з」∠)_第一回在这家买的，居然是有自封袋的，别家可没有，买快煮的省时间 ,-,-,2021-06-19
53,t**0,口味: 【常规】黑珍珠1kg,好评,就是煮的时间比较长，味道还是不错的,-,-,2021-06-25
54,c**t,口味: 【常规】黑珍珠1kg,好评,目前买过口感最好的一个粉圆 ,-,-,2021-06-24
55,杉**8,口味: 【常规】黑珍珠1kg,好评,煮好了，感觉蛮香的，配上孩子喝的配方奶，再也不叫着喝奶茶了,-,-,2021-06-19
56,z**h,口味: 广禧快煮黑珍珠 500g,好评,买了好多次，会继续回购。 ,-,-,2021-06-21
57,n**m,口味: 广禧快煮黑珍珠 500g,好评,日期不够新鲜两个月前生产的，保质期才6个月,-,-,2021-06-26
58,t**2,口味: 【常规】黑珍珠1kg,好评,这是第二次购买了，就是这次的珠子有点裂开了,-,-,2021-06-26
59,l**5,口味: 【快煮】透明珍珠 500g,好评,还没有吃，味道应该还可以,-,-,2021-06-22
60,你**0,口味: 【常规】黑珍珠1kg,好评,来了很多次了  值得推荐,-,-,2021-06-26
61,s**1,口味: 【快煮】樱花珍珠1kg,好评,多次购买，需要再来！ ,-,-,2021-06-21
62,t**6,口味: 【常规】黑珍珠1kg,好评,第二次购买了，我个人习惯吧，如果第一次买质量很好。以后就一直在你家买了，希望老板可以越做越好！！！ ,-,-,2021-06-17
63,珍**2,口味: 【常规】黑珍珠1kg,好评,很好吃哦，很有嚼劲，味道很正，喜欢👍🏻,-,-,2021-06-22
64,t**9,口味: 【快煮】黑珍珠1kg,好评,方便，好吃，无限回购 ,-,-,2021-06-26
65,睿**儿,口味: 【免煮】黑珍珠25g*5包+糖纳红豆20g*5包+椰果40g*5颗,好评,好多东西，日期也新鲜，实惠。,-,-,2021-06-20
66,幻**丫,口味: 广禧快煮黑珍珠 500g,好评,今天刚收到，还可以,-,-,2021-06-23
67,亚**月,口味: 【快煮】水蜜桃味珍珠500g,好评,不错不错、味道好极了,-,-,2021-06-22
68,梦**5,口味: 【常规】焦糖味珍珠 500g,好评,很好的宝贝，与描述一致好评,-,-,2021-06-24
