数据下载时间：2021-07-01 09:45:04 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/635282951035/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
16,t**9,口味: 40g冰粉5袋+5支30g红糖+5支20g伴侣,好评,冰粉超级好吃😋做起来很方便，一袋有很多，可以做很多次，商家还赠了红糖☺️淋上红糖和花生碎非常好吃，再加些自己喜欢的水果，绝绝子❤️夏天来一碗冰冰凉凉的冰粉，简直了，幸福感爆棚🥰,真的好好吃😋夏日冰粉yyds！冰镇后更好吃哦！冰冰凉了太爱啦！,-,2021-06-06
17,t**2,口味: 40g冰粉5袋+5支30g红糖+5支20g伴侣,好评,夏天太合适冰爽的凉粉了，再搭上好吃的水果和干果，自制些料汁味道真的太棒了。 ,这个冰粉点口感特别好，加上一些饮料进行调味，真的不错。,-,2021-06-05
18,大**6,口味: 40g冰粉5袋+5支30g红糖,好评,挺简单的  ,-,-,2021-06-24
19,t**1,口味: 40g冰粉5袋+5支30g红糖+5支20g伴侣,好评,真不错呢，物流非常的快包装也很好，相对来说性价比比较高的，买了几包试试，觉得应该跟白凉粉粉差不多吧，做法都一样的。现在天气慢慢暖和了，也正好可以吃起来了它的操作方法很简单，做好了冰镇一下，味道就更好了!¨制作起来很方便，加上配料后很好吃，很美味，而且价格实惠很满意，下次还会再来。,这个夏天找到了一个乐趣，喜欢吃冰粉的小伙伴赶紧来，主要是简单好做，自己出去买一次的价格够自己做四五次了，加上自己喜欢的水果，酸酸甜甜超好吃！价格实惠，而且还送很多东西，完美！吃货集美们不要错过哦！,-,2021-05-23
20,盘**1,口味: 40g冰粉5袋+5支30g红糖+5支20g伴侣,好评,这个夏天找到了一个乐趣，太棒了，简单又美味可口，喜欢吃冰粉的小伙伴赶紧来，主要是简单好做，水煮开后放置凉了之后就可以了，自己出去买一次的价格够自己做四五次了，想想都不划算，自己做可以加上自己喜欢的水果，酸酸甜甜超好吃！价格实惠，而且还送很多东西，红糖 花生这些，真的是完美！吃货集美们不要错过哦！,昨天弄了好吃，今天我朋友过来又弄了给他吃，说好吃、而且还简单，几分钟就可以了，加了她喜欢吃的水果，昨天一包现在都够用，还剩很多，明天又可以弄了吃了,-,2021-05-26
21,t**8,口味: 40g冰粉5袋+5支30g红糖+5支20g伴侣,好评,物流非常的快包装也很好，相对来说性价比比较高的，买了几包试试，觉得应该跟白凉粉粉差不多吧，做法都一样的。现在天气慢慢暖和了，也正好可以吃起来了它的操作方法很简单，做好了冰镇一下，味道就更好了!/小纠结制作起来很方便，加上配料后很好吃，很美味，而且价格实惠很满意，下次还会再来。,真的非常值！很好吃~自己diy，想放什么水果就放什么水果，冰箱冰一会更冰冰凉！,-,2021-06-20
22,t**8,口味: 40g冰粉5袋+5支30g红糖+5支20g伴侣,好评,冰粉制作很简单，很容易就成功了，一小包粉可以做出来好多，可以根据自己的口味加水果，我加了西瓜🍉，好吃又好看，红糖不用自己煮直接倒下去就可以吃了，还有花生碎芝麻山楂葡萄干…配料很多，价格便宜吃起来又方便！ ,这个非常适合夏天吃，冰凉冰凉的，吃完了再来买,-,2021-06-20
23,风**a,口味: 40g冰粉8袋,好评,小朋友都喜欢吃，做法简单，爱了，爱了,-,-,2021-06-21
24,h**。,口味: 冰粉5袋+20g糖蜜红豆5包,好评,冰粉不好吃，蜜豆还行，倒了😭,-,-,2021-06-26
25,t**7,口味: 40g冰粉5袋+5支30g红糖+5支20g伴侣,好评,日期很新鲜，天热了，用这个简单地做一个甜品好吃又方便，做法很简单，在学校里做很方便，还送了花生碎坚果碎之类的，做好以后加一点凉开水、雪碧冰块更好吃和自己喜欢的坚果，水果都行。一袋可以分好几次做，还送了红糖！ ,在学校第一次做，没想到这么简单，和外面买的一 样的，我舍友很爱吃，以后再也不用出去吃了，自己做的即干净又美味   自己可以放很多东西,-,2021-05-27
