数据下载时间：2021-06-30 09:44:26 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/595399070077/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
29,w**5,食品口味: 【店长力荐】菠萝蜜500克袋装（量贩一斤）,好评,新鲜度：没有杂味耗味 口感味道：还不错，爱吃，已经回购 ,-,-,2021-06-23
30,快**9,食品口味: 【店长力荐】菠萝蜜500克袋装（量贩一斤）,好评,好吃好吃第二次买了👍 ,-,-,2021-06-22
31,高**人,食品口味: 【店长力荐】菠萝蜜500克袋装（量贩一斤）,好评,喜欢吃 多次回购  ,-,-,2021-06-23
32,t**0,食品口味: 【店长力荐】菠萝蜜500克袋装（量贩一斤）,好评,香脆可口，色泽与展示图接近。使用十分方便。,-,-,2021-06-19
33,炉**！,食品口味: 【店长力荐】菠萝蜜500克袋装（量贩一斤）,好评,价格不贵，口味还不错，总体来说性价比很好。,-,-,2021-06-21
34,t**5,食品口味: 【人气推荐】菠萝蜜250克+秋葵250克（共发500克）,好评,宝贝收到了，个头很大，很新鲜，味道很好。,-,-,2021-06-21
35,霓**空,食品口味: 【店长力荐】菠萝蜜500克袋装（量贩一斤）,好评,买一大堆，这个暑假孩子有吃的了，尝尝味道还挺好，每天少吃点也不腻  ,-,-,2021-06-24
36,a**芳,食品口味: 【实惠半斤装】菠萝蜜250克袋装,好评,菠萝蜜干很好吃，甜甜的，吃起来嘎嘣脆。份量很足。,-,-,2021-06-15
37,t**5,食品口味: 【店长力荐】菠萝蜜500克袋装（量贩一斤）,好评,包装品质：包装精美 商品分量：足 保质期：新鲜 口感味道：自然香甜 ,-,-,2021-06-21
38,亦**儿,食品口味: 【店长力荐】菠萝蜜500克袋装（量贩一斤）,好评,口感味道都不错，三天就吃完了二包。下次活动了再买。,-,-,2021-06-22
39,青**8,食品口味: 【店长力荐】菠萝蜜500克袋装（量贩一斤）,好评,真的绝绝子，真的很好吃，量大实惠，还会回购哒 ,-,-,2021-06-25
40,倪**妹,食品口味: 【店长力荐】菠萝蜜500克袋装（量贩一斤）,好评,收到货，第一时间拆包装，感觉还是比较好的，与卖家描述的还是一致的，非常满意，发货速度比较快，物流公司服务态度很好，运送速度很快，总的来说这次是很满意的一次购物，感谢卖家。 ,-,-,2021-06-24
41,购**籽,食品口味: 【店长力荐】菠萝蜜500克袋装（量贩一斤）,好评,味道还可以，外包装有损坏,-,-,2021-06-23
42,k**8,食品口味: 【店长力荐】菠萝蜜500克袋装（量贩一斤）,好评,菠萝蜜香香脆脆的好好吃，我女朋友很喜欢，份量也挺足的，价格实惠，还会回购,-,-,2021-06-15
43,t**4,食品口味: 【便携尝鲜】菠萝蜜50克X2袋,好评,菠萝蜜干酥脆香甜，回味无穷。,-,-,2021-06-22
44,素**9,食品口味: 【店长力荐】菠萝蜜500克袋装（量贩一斤）,好评,还会再来的，嘿嘿嘿……好吃,-,-,2021-06-21
45,水**水,食品口味: 【店长力荐】菠萝蜜500克袋装（量贩一斤）,好评,很好吃，很香，菠萝味很浓，吃完继续回购 ,-,-,2021-06-15
46,啤**7,食品口味: 【店长力荐】菠萝蜜500克袋装（量贩一斤）,好评,上次出游时朋友买过，吃了一直念念不忘，立马下了一斤 ,-,-,2021-06-24
47,t**1,食品口味: 【实惠半斤装】菠萝蜜250克袋装,好评,商品分量：比我想象中多好多  好吃  优惠可以买 口感味道：挺好吃的哈哈哈哈哈哈哈 ,-,-,2021-06-20
48,康**1,食品口味: 【爆款组合】菠萝蜜250克+果蔬脆250克（共发500克）,好评,挺好吃的，两袋子，比超市实惠,-,-,2021-06-21
49,青**8,食品口味: 【人气推荐】菠萝蜜250克+秋葵250克（共发500克）,好评,还在犹豫的姐妹不要犹豫了，真的很好吃！！很实惠！！给对象也买了，也觉得很不错！！ ,-,-,2021-06-25
50,庆**0,食品口味: 【人气推荐】菠萝蜜250克+秋葵250克（共发500克）,好评,水果干到货快，份量足，水果干脆脆的，很好吃,-,-,2021-06-23
51,y**9,食品口味: 【店长力荐】菠萝蜜500克袋装（量贩一斤）,好评,味道很好，很新鲜 ,-,-,2021-06-26
