数据下载时间：2021-07-01 13:23:53 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/638549079571/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
28,靳**0,口味: 白凉粉50g+教程（试吃装）,好评,做出来东西很好看，包装也很细致，很用心 ,-,-,2021-06-21
29,想**8,口味: 【活动中】白凉粉50g（今日发100g/袋）,好评,白凉粉收到了，包装完好，第一次买抱着试试看，学习怎么做的心态买了一包，店家很贴心，还一块寄了教程说明。好评！ ,-,-,2021-06-21
30,天**2,口味: 白凉粉50g+教程（试吃装）,好评,"CC开始很担心做不成,糯香,软软的。嫩嫩的,甜甜的,过两天有时间做来看看。煮完可以先风扇吹冷再放冰箱,小小的,超营养。后面再多练习下,很容易就学会做了。值得购买,质量好,对冰箱也不好,要快一点成型可以少加点水,﻿☀ ",-,-,2021-06-02
31,兔**i,口味: 白凉粉200g+送量杯量勺教程,好评,包装好，配件齐全，棒棒哒。用完再买 ,-,-,2021-06-26
32,伤**薯,口味: 白凉粉500g+送（12连小花+6连星星+2连小兔+2连小猪+量杯量勺教程）,好评,此用户没有填写评价。,收到后一直未使用，今天拆开量杯坏了，售后以时间太久无法核实为由，不予以处理。,-,2021-06-01
33,影**子,口味: 白凉粉50g+教程（试吃装）,好评,这是个好东西，做的很成功，宝贝很喜欢吃，非常那满意哦！ ,-,-,2021-06-24
34,伯**园,口味: 白凉粉200g+送量杯量勺教程,好评,很划算哦，而且卖家发货速度也很快，跟着抖音做的，成品也不错，有需要还会回购的。 ,-,-,2021-06-25
35,t**6,口味: 白凉粉50g+教程（试吃装）,好评,"CC包装非常仔细和紧密,这么美味这么漂亮的果冻我都能做出来。都有明细(*￣︶￣)的教程,做起来也容易,我非常喜欢,还送了制作食谱和视频,令人满意的购物质量非常好,再也不用出去买了 ",-,-,2021-05-30
36,马**儿,口味: 白凉粉300g+送（8连鲜花模具+量杯量勺教程）,好评,抱着试试看的态度买的，第一次做成功了。好看又好吃,-,-,2021-06-26
37,五**孔,口味: 【巨划算】白凉粉500g+送（8连鲜花+6连星星+量杯勺教程）,好评,第一次做，孩子很喜欢，送的模具很好用。 ,-,-,2021-06-26
38,f**0,口味: 白凉粉50g+教程（试吃装）,好评,生产日期很新鲜。快递给力，没有破损。还有制作方法。价廉物美。 ,-,-,2021-06-26
39,何**1,口味: 白凉粉300g+送（2连小兔模具+量杯量勺教程）,好评,好可爱可惜家里没奶了如果用奶做出来更可爱又可爱有好吃喜欢,-,-,2021-06-26
40,t**4,口味: 【活动中】白凉粉50g（今日发100g/袋）,好评,味道不错，简单，好吃又卫生😄👍 ,好吃不上火，喜欢宝宝快下单😄下次再回购,-,2021-06-25
41,t**5,口味: 白凉粉50g+教程（试吃装）,好评,也可以弄苹果布丁吃 挺好的,-,-,2021-06-25
42,t**1,口味: 白凉粉50g+教程（试吃装）,好评,白凉粉50克一包的可以配500毫升水。有使用教程的 ,-,-,2021-06-21
43,石**块,口味: 白凉粉50g+教程（试吃装）,好评,非常不错的果冻粉，好溶解，好成型，教程详细，孩子喜欢 ,-,-,2021-06-20
44,m**4,口味: 白凉粉50g+教程（试吃装）,好评,最近爱上了白凉粉，夏天做点挺凉爽的，口感很舒服,-,-,2021-06-26
45,永**鲸,口味: 白凉粉200g+送量杯量勺教程,好评,快递挺快的 还没来得及动手做 希望不要翻车阿弥无量天尊 ,-,-,2021-06-25
46,家**6,口味: 白凉粉500g+送（12连小花+6连星星+2连小兔+2连小猪+量杯量勺教程）,好评,收到白凉粉，好的礼品，质量很好，非常满意 ,收到宝贝，非常满意，还会回购,-,2021-06-21
47,柳**沐,口味: 白凉粉100g+送量杯量勺教程,好评,很好呢，是回购，还会继续回购，希望一直这么好 ,-,-,2021-06-21
