数据下载时间：2021-06-27 19:00:42 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/574265807449/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
49,g**肖,颜色分类: 福袋,好评,很好的活动 可惜没有中奖 中奖太难了 ,-,-,2021-06-21
50,安**i,颜色分类: 福袋,好评,啥也没收到？可能还要等几天吧？ ,-,-,2021-06-21
51,徐**8,颜色分类: 福袋,好评,拍个福袋，无限可能。,-,-,2021-06-13
52,暗**遂,颜色分类: 福袋,好评,送了厨小布，还不错,-,-,2021-06-09
53,s**9,颜色分类: 福袋,好评,搞不清楚干什么的,-,-,2021-06-20
54,r**7,颜色分类: 福袋,好评,买的有话费赠送,-,-,2021-06-13
55,y**u,颜色分类: 福袋,好评,没收到 ,这个是真没收到,-,2021-06-20
56,潇**少,颜色分类: 福袋,好评,不知道到时候礼品发不发 ,-,-,2021-06-10
57,c**7,颜色分类: 福袋,好评,什么都没中 ,-,-,2021-06-19
58,t**0,颜色分类: 福袋,好评,就是没抽中,-,-,2021-06-21
59,花**6,颜色分类: 福袋,好评,很好，五分好评。,-,-,2021-06-10
60,t**3,颜色分类: 福袋,好评,非常划算，不错,-,-,2021-06-08
61,t**6,颜色分类: 福袋,好评,物流速度真的是没话说，就是一个字：快。商品从外包装来看非常高档，真是一分钱一分货，贵有贵的道理 ,-,-,2021-06-18
62,张**3,颜色分类: 福袋,好评,宝贝收到了，包装很结实，应该是个好东西，先给好评了 ,-,-,2021-06-23
63,华**用,颜色分类: 福袋,好评,真实，有效，实惠。,-,-,2021-06-07
64,架**天,颜色分类: 福袋,好评,不错的活动，值得购买！ 容量大小：合适 产品性能：火力大 ,-,-,2021-06-04
65,我**8,颜色分类: 福袋,好评,没收到啊，怎么就自动收货了，不知道是不是跟机子一起发货,-,-,2021-06-16
66,t**7,颜色分类: 福袋,好评,整体评价：很好！ ,-,-,2021-06-03
67,l**6,颜色分类: 福袋,好评,都没收到，不知道是啥？ ,-,-,2021-06-15
68,t**0,颜色分类: 福袋,好评,大品牌值得信赖 ,-,-,2021-06-06
69,小**呀,颜色分类: 福袋,好评,抱歉，太垃圾了 ,-,-,2021-06-18
70,t**4,颜色分类: 福袋,好评,老板电器大卖支持,-,-,2021-06-03
71,t**6,颜色分类: 福袋,好评,钱付过啥也没有,-,-,2021-06-17
72,卷**6,颜色分类: 福袋,好评,价格实惠 ,-,-,2021-06-03
73,苏**嘎,颜色分类: 福袋,好评,物美价廉，物流快，商品质量好，好评好评好评！  ,-,-,2021-06-06
74,丫**6,颜色分类: 福袋,好评,不知道啥福利，看见就拍了 ，因为买了油烟机套餐,-,-,2021-06-05
75,y**3,颜色分类: 福袋,好评,这是什么东西,-,-,2021-06-05
76,t**3,颜色分类: 福袋,好评,好是好，就是睡过头了 ,-,-,2021-06-03
77,恶**狱,颜色分类: 福袋,好评,还不错，挺好的 ,-,-,2021-03-31
78,t**3,颜色分类: 福袋,好评,非常满意！谢谢！非常满意！谢谢！ ,-,-,2021-03-25
79,各**6,颜色分类: 福袋,好评,客服包子很好，很棒棒！！！！！！！！,-,-,2021-03-17
80,小**a,颜色分类: 福袋,好评,因为装修进度问题，还没让送货，不知道怎么样。。 ,-,-,2021-04-04
81,小**g,颜色分类: 福袋,好评,*****太差。自己给了运费寄回去了 ,-,-,2021-03-22
82,我**币,颜色分类: 福袋,好评,物流飞快，秒到，😄 ,-,-,2021-06-27
83,鹏**淘,颜色分类: 福袋,好评,宝贝不错啊！,-,-,2021-06-27
84,w**8,颜色分类: 福袋,好评,大品牌值得信赖！ ,-,-,2021-06-26
85,j**馆,颜色分类: 福袋,好评,福袋很好,-,-,2021-06-26
86,淘**a,颜色分类: 福袋,好评,好 ,-,-,2021-06-26
87,l**7,颜色分类: 福袋,好评,还没装，。过后追评。,-,-,2021-06-27
88,t**0,颜色分类: 福袋,好评,不知道拍了送啥反正先拍了,-,-,2021-06-27
89,y**9,颜色分类: 福袋,好评,一条评论照片不够，官方旗舰店给我4399的价格，还用补差价的链接让我购买，我说要等618也不提醒价格会更高。懒得说，自己看聊天记录，感觉像骗子公司,还有图没发完,尊敬的用户，感谢您选购我们的产品，我们的活动都是不定期推出的，活动力度也不同，我们在线客服有和您解释说明的哦，请您谅解~后续如有问题可随时联系我们，我们定竭诚为您处理！,2021-06-15
90,叫**兽,颜色分类: 福袋,好评,啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊,-,-,2021-06-23
91,f**0,颜色分类: 福袋,好评,物美价廉，赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞👍🏻,-,-,2021-06-13
92,下**晨,颜色分类: 福袋,好评,很好很好很好很好很好很好很好很好很好 ,-,-,2021-06-12
93,t**4,颜色分类: 福袋,好评,没用！,-,-,2021-06-23
94,h**6,颜色分类: 福袋,好评,好评。,-,-,2021-06-20
95,t**4,颜色分类: 福袋,好评,还,-,-,2021-06-11
96,a**4,颜色分类: 福袋,好评,很满意 ,-,-,2021-06-21
97,z**3,颜色分类: 福袋,好评,赞,-,-,2021-06-02
98,l**y,颜色分类: 福袋,好评,？,-,-,2021-06-18
99,a**4,颜色分类: 福袋,好评,好！ ,-,-,2021-06-21
100,g**3,颜色分类: 福袋,好评,很好！,-,-,2021-06-17
101,m**途,颜色分类: 福袋,好评,sdfssssssss,-,-,2021-03-16
102,t**5,颜色分类: 福袋,好评,很实惠,-,-,2021-06-18
103,他**暴,颜色分类: 福袋,好评,满意 ,-,-,2021-06-15
104,l**1,颜色分类: 福袋,好评,优惠,-,-,2021-06-23
105,俄**购,颜色分类: 福袋,好评,诚信,-,-,2021-06-17
106,琴**色,颜色分类: 福袋,好评,不错！,-,-,2021-06-17
107,s**8,颜色分类: 福袋,好评,非常棒,-,-,2021-06-19
108,s**1,颜色分类: 福袋,好评,没用到,-,-,2021-06-22
109,k**1,颜色分类: 福袋,好评,没用上,-,-,2021-06-11
110,n**9,颜色分类: 福袋,好评,挺好的,-,-,2021-06-20
111,殇**奏,颜色分类: 福袋,好评,还行 ,-,-,2021-06-11
112,睫**0,颜色分类: 福袋,好评,还可以 ,-,-,2021-06-14
113,诺**末,颜色分类: 福袋,好评,忽悠多 ,-,-,2021-06-24
114,雨**来,颜色分类: 福袋,好评,挺好 ,-,-,2021-03-26
115,雯**菲,颜色分类: 福袋,好评,好。,-,-,2021-06-23
116,见**景,颜色分类: 福袋,好评,实惠,-,-,2021-06-20
117,哈**n,颜色分类: 福袋,好评,OK,-,-,2021-06-10
118,雷**9,颜色分类: 福袋,好评,还行,-,-,2021-06-16
119,过**张,颜色分类: 福袋,好评,还不错,-,-,2021-06-23
120,温**6,颜色分类: 福袋,好评,hso. ,-,-,2021-06-21
121,w**3,颜色分类: 福袋,好评,👌👌👌,-,-,2021-06-17
122,感**x,颜色分类: 福袋,好评,挺好！ ,-,-,2021-06-25
123,m**6,颜色分类: 福袋,好评,没用上 ,-,-,2021-06-25
124,箜**竹,颜色分类: 福袋,好评,挺不错的！,-,-,2021-06-24
125,w**5,颜色分类: 福袋,好评,没买,-,-,2021-04-07
126,e**9,颜色分类: 福袋,好评,不错,-,-,2021-06-21
127,各**6,颜色分类: 福袋,好评,客服包子真好！！！！推荐购买！！！！,-,-,2021-06-06
128,k**9,颜色分类: 福袋,好评,一直在这里买这个，活动的时候价格很美丽，发货速度贼快，质量不错，应该是正品发货很快，包装的很好，价格也特别实惠，还有这么多功效也是不错了，值得购买🎈商品收到了，包装得很好，物流非常快，客服态度很积极，有问题及时解答！总体来说非常满意！趁着优惠，赶紧入手，是正品，包装也非常的好，没有破损，质量也是没得说，棒👍第一次在网上购买，也是看评价才买的，质量还不错，也很便宜，有需要的朋友可放心购买 ,-,-,2021-06-22
129,你**情,颜色分类: 福袋,好评,"期盼之中，终于等到了心爱的东东怀着忐忑不安的心(不是在意货物更在意的是小店的诚信和承诺),拆除包装首先感觉到的是包装的用心和细心，打开包装感受的是温馨和友爱，卖家的诚意和热瘠让我为等待时候的忐忑心理而惭愧 ",-,-,2021-06-25
130,张**3,颜色分类: 福袋,好评,宝贝特别喜欢，颜值高质量好，中看又中用，有需要的朋友不要犹豫了，最后祝商家生意兴隆！发货速度很快，东西包装的很好，价格优惠，我很满意👍，还会回购东西已经收到！手感不错！用料扎实！质量很好！平常用基本没有问题！真的很好，性价比也很高，质量也很好，物流也快啊！一天就到货了！ ,-,-,2021-06-23
131,r**0,颜色分类: 福袋,好评,很好,-,-,2021-06-13
132,t**2,颜色分类: 福袋,好评,此用户没有填写评价。,-,-,2021-06-25
133,t**2,颜色分类: 福袋,好评,好,-,-,2021-06-25
134,各**6,颜色分类: 福袋,好评,客服包子真好！！！！推荐购买！！！！,-,-,2021-06-06
135,t**2,颜色分类: 福袋,好评,好,-,-,2021-06-25
