数据下载时间：2021-06-28 13:18:23 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/635994425632/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
54,就**啊,颜色分类: 5号电池（1盒10粒）,好评,此用户没有填写评价。,-,-,2021-06-07
55,癞**儿,颜色分类: 7号电池（2盒20粒）,好评,此用户没有填写评价。,-,-,2021-05-06
56,s**4,颜色分类: 5号电池（2盒20粒）,好评,此用户没有填写评价。,-,-,2021-03-18
57,周**0,颜色分类: 5号电池（1盒10粒）,好评,此用户没有填写评价。,-,-,2021-06-18
58,s**5,颜色分类: 5号电池（2盒20粒）+7号电池（2盒20颗）,好评,此用户没有填写评价。,-,-,2021-05-17
59,d**8,颜色分类: 5号电池（2盒20粒）+7号电池（2盒20颗）,好评,此用户没有填写评价。,-,-,2021-06-19
60,皓**7,颜色分类: 5号电池（1盒10粒）+7号电池（1盒10颗）,好评,此用户没有填写评价。,-,-,2021-04-24
61,小**n,颜色分类: 5号电池（1盒10粒）,好评,此用户没有填写评价。,-,-,2021-05-10
62,玛**包,颜色分类: 7号电池（1盒10粒）,好评,此用户没有填写评价。,-,-,2021-04-10
63,癞**儿,颜色分类: 5号电池（2盒20粒）,好评,此用户没有填写评价。,-,-,2021-05-06
64,r**n,颜色分类: 5号电池（1盒10粒）+7号电池（1盒10颗）,好评,此用户没有填写评价。,-,-,2021-04-23
65,w**6,颜色分类: 7号电池（1盒10粒）,好评,此用户没有填写评价。,-,-,2021-05-31
66,t**x,颜色分类: 7号电池（1盒10粒）,好评,此用户没有填写评价。,-,-,2021-06-12
67,t**0,颜色分类: 5号电池（1盒10粒）,好评,此用户没有填写评价。,-,-,2021-06-03
68,王**标,颜色分类: 7号电池（1盒10粒）,好评,此用户没有填写评价。,-,-,2021-06-13
69,济**帅,颜色分类: 7号电池（1盒10粒）,好评,此用户没有填写评价。,-,-,2021-05-30
70,s**2,颜色分类: 5号电池（1盒10粒）,好评,此用户没有填写评价。,-,-,2021-05-30
71,r**阳,颜色分类: 7号电池（1盒10粒）,好评,此用户没有填写评价。,-,-,2021-05-19
72,d**4,颜色分类: 5号电池（5盒50粒）+7号电池（5盒50颗）,好评,此用户没有填写评价。,-,-,2021-05-07
73,滨**a,颜色分类: 5号电池（1盒10粒）,好评,此用户没有填写评价。,-,-,2021-06-24
74,m**i,颜色分类: 5号电池（2盒20粒）+7号电池（2盒20颗）,好评,此用户没有填写评价。,-,-,2021-04-14
75,静**8,颜色分类: 5号电池（1盒10粒）+7号电池（1盒10颗）,好评,此用户没有填写评价。,-,-,2021-04-23
