数据下载时间：2021-06-28 13:47:51 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/621776237205/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
41,t**3,长度: 1.5米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,vivo差不了,-,-,2021-06-25
42,q**0,长度: 0.25米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,物流和产品都不错，性价比高，赞赞赞👏👏👏,-,-,2021-06-26
43,t**0,长度: 0.25米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,价格实惠值得购买,-,-,2021-06-18
44,我**8,长度: 1米 颜色分类: Type-C/5A快充/象牙白/超值3条装,好评,质量不错，感谢店家多送一条！,-,-,2021-06-21
45,c**x,长度: 0.25米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,质量很好！,-,-,2021-06-21
46,休**4,长度: 0.25米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,质量不错。,-,-,2021-06-25
47,曹**8,长度: 2米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,物流很快，发来的宝贝和我的手机不配套，儿子的手机能用，送给儿子啦，赞，五星好评。,-,-,2021-06-20
48,s**q,长度: 1米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,看我的数据监测这线不错，值得购买！再看我的大充电宝，6万毫安的砖头，重900克,-,-,2021-06-10
49,y**0,长度: 0.25米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,很不错，好用。,-,-,2021-06-22
50,鹏**p,长度: 2米 颜色分类: Type-C/5A快充/象牙白/买一送一2条装,好评,不错，还可以的。,-,-,2021-06-25
51,棒**糖,长度: 2米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,三无产品。,-,-,2021-06-26
52,t**4,长度: 0.25米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,给予好评,-,-,2021-06-26
53,d**朱,长度: 0.25米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,物流很快，长度刚刚好，外出的时候配充电宝用的，方便,-,-,2021-06-17
54,t**7,长度: 0.25米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,收到，很好，短线方便不易打结缠绕。,-,-,2021-06-19
55,t**2,长度: 1.5米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,宝贝质量非常好！,-,-,2021-06-22
56,p**i,长度: 0.25米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,宝贝收到了，挺好的，物美价廉,-,-,2021-06-23
57,香**1,长度: 1米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,挺好的，充电挺快的,-,-,2021-06-24
58,t**4,长度: 0.25米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,一充就烧，质量非常差,-,-,2021-06-26
59,s**k,长度: 0.25米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,质量很好！充电速度也很快,-,-,2021-06-19
60,t**6,长度: 0.25米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,物美价廉性价比超高,-,-,2021-06-21
61,仙**们,长度: 1米 颜色分类: Type-C/5A快充/象牙白/买一送一2条装,好评,很棒，划算,-,-,2021-06-15
62,t**5,长度: 0.25米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,第一次用，充电线插口很紧，很费力才能插上。怕伤手机充电口，现在闲置一边了。,-,-,2021-06-17
63,w**o,长度: 2米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,可以质量很好,-,-,2021-06-18
64,x**h,长度: 0.25米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,质量非常好，宝贝一级棒！,-,-,2021-06-17
65,t**5,长度: 0.25米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,方便携带，价格实惠,-,-,2021-06-17
66,t**8,长度: 1米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,不错，是快充线，价格适中好评。,-,-,2021-06-22
67,南**尘,长度: 0.25米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,数据线质量非常好，不错,-,-,2021-06-20
68,o**b,长度: 1米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,期待使用效果,-,-,2021-06-20
69,奔**人,长度: 0.25米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,数据线不错，质量很好,-,-,2021-06-18
70,囊**8,长度: 0.25米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,可以用，挺好！短小精悍！,-,-,2021-06-18
71,海**8,长度: 1米 颜色分类: Type-C/5A快充/象牙白/买一送一2条装,好评,感觉跟原装线差不多,-,-,2021-06-19
72,e**8,长度: 1米 颜色分类: Type-C/5A快充/象牙白/超值3条装,好评,试了一下，还可以，希望耐用。。。。。。。。。。。。。,-,-,2021-06-23
73,y**3,长度: 1米 颜色分类: Type-C/5A快充/象牙白/买一送一2条装,好评,物有所值的产品，还会关注的,-,-,2021-06-20
74,x**藤,长度: 0.25米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,非常满意的一次网购！,-,-,2021-06-20
75,t**1,长度: 1.5米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,东西很好！有需要的下单吧好评,-,-,2021-06-20
76,t**3,长度: 0.25米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,真的是快充的，很好用。,-,-,2021-06-25
77,l**1,长度: 1米 颜色分类: Type-C/5A快充/象牙白/买一送一2条装,好评,没高仿的好  但是能快充  希望耐用    价格实惠,-,-,2021-06-10
78,t**1,长度: 1米 颜色分类: 【活动促销款】Type-c/白色【1条装】,好评,根本充不进，不要买！！！,-,-,2021-06-23
79,刘**8,长度: 0.25米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,很短很小的一根哦，,-,-,2021-06-23
80,小**1,长度: 1.5米 颜色分类: Type-C/5A快充/象牙白/买一送一2条装,好评,质量很好，充电块快，很满意,-,-,2021-06-18
81,t**3,长度: 1米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,老板服务态度很好，物流很快。,-,-,2021-06-25
82,h**9,长度: 1米 颜色分类: Type-C/5A快充/象牙白/买一送一2条装,好评,还可以，价格也不贵,-,-,2021-06-25
83,无**个,长度: 1米 颜色分类: 【活动促销款】Type-c/白色【1条装】,好评,使用不错,-,-,2021-06-16
84,五**村,长度: 1米 颜色分类: 【活动促销款】Type-c/白色【1条装】,好评,便宜实惠。,-,-,2021-06-19
85,d**5,长度: 1.5米 颜色分类: Type-C/5A快充/象牙白/买一送一2条装,好评,货真价实非常好用！好评！,-,-,2021-06-17
86,疯**7,长度: 0.25米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,very  good,-,-,2021-06-18
87,t**9,长度: 1米 颜色分类: Type-C/5A快充/象牙白/买一送一2条装,好评,完全对不上,-,-,2021-04-25
