数据下载时间：2021-05-22 23:19:45 功能：看店宝【kandianbao.com】全店宝贝 相关查询网址：https://kandianbao.com/dian/博莱克电器旗舰店,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,主图,标题,宝贝id,货号,销售价最低,销售价最高,原价最低,原价最高,折扣率,sku数量,库存,邮费,30天销量,总销量,占全店销量比例,30天销售额,占全店销售额比例,总销售额,收藏数,评价数,PC总分享量,宝贝促销,店铺促销,活动促销,服务保证,一级类目,二级类目,三级类目,宝贝创建时间,宝贝创建时长,下架日期,下架时间,天数,星期,宝贝地址,分析地址,评价标签
1,https://img.alicdn.com/imgextra/i1/1852700955/O1CN01YpM2vX1IvQt7Ibc10_!!0-item_pic.jpg,博莱克燃气灶双灶液化气嵌入式台式两用式猛火炉具节能家用煤气灶,	629757970525,,799.0,799.0,799,799,100.00%,6,19996,0,0,1853,0,0,0,1480547,1042,597,0,,,热卖促销,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,大家电,厨房大电,燃气灶,,,2021-05-27,01:08:52,4天1时49分10秒,四,http://item.taobao.com/item.htm?id=629757970525,https://kandianbao.com/item/629757970525/,大火很棒(2);包装很好(2);物流快递很快(3);物有所值(9);烧菜很快(2);商家很热情(4)
2,https://img.alicdn.com/imgextra/i2/1852700955/O1CN016A0Jvt1IvQszZywX3_!!0-item_pic.jpg,博莱克ZTD100-F299消毒柜嵌入式家用消毒碗柜三层120升高温消毒柜,	576768181491,F299,499.0,899.0,899,1399,64.26%,6,24650,0,19,5459,0.10%,12521,0.19%,3597481,8536,457,0,,,热卖促销,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,大家电,消毒柜,消毒柜,,,2021-05-27,14:38:46,4天15时19分4秒,四,http://item.taobao.com/item.htm?id=576768181491,https://kandianbao.com/item/576768181491/,外形外观漂亮(5);物流快递很快(2);物有所值(5);商家认真负责(2)
3,https://img.alicdn.com/imgextra/i2/1852700955/O1CN01K80ujC1IvQumPhRNF_!!0-item_pic.jpg,博莱克 DSZF-40CZ热水器电家用储水式速热式节能洗澡40L50L60l升,	556573057890,,238.0,608.0,1298,1668,36.45%,18,16923750,0,4510,610298,24.19%,1740860.0000000002,26.48%,235575028.00000003,345656,112985,11,,,热卖促销,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,大家电,热水器,电热水器,,,2021-05-24,17:19:29,1天17时59分47秒,一,http://item.taobao.com/item.htm?id=556573057890,https://kandianbao.com/item/556573057890/,水压很好(8);声音很小(8);温度高(72);占地面积挺小(3);有预约功能(2);面板有点斜着(2)
4,https://img.alicdn.com/imgextra/i4/1852700955/O1CN01njxQKl1IvQupqG0WD_!!0-item_pic.jpg,博莱克燃气灶双灶液化气嵌入式台式两用式猛火炉具节能家用煤气灶,	548661154417,,138.0,368.0,728,728,50.55%,32,29976020,0,4631,492989,24.84%,1065130,16.20%,113387470,257006,137774,2,,,热卖促销,7天无理由|运费险|公益宝贝|蚂蚁花呗|信用卡支付|集分宝,大家电,厨房大电,燃气灶,,,2021-05-28,17:16:43,5天17时57分1秒,五,http://item.taobao.com/item.htm?id=548661154417,https://kandianbao.com/item/548661154417/,风量蛮够用(3);这个配置(7);热度好高(5);钢板很结实(5);声音小(11);承重力很小(2)
5,https://img.alicdn.com/imgextra/i3/1852700955/O1CN01ua5Mv61IvQurJa8lE_!!1852700955.jpg,双电机自动清洗抽油烟机壁挂式抽烟机家用侧吸式脱排吸油烟机特价,	548588017571,,308.0,528.0,1818,2168,24.35%,17,15285216,0,9482,577003,50.86%,3754872.0000000005,57.12%,228493188.00000003,457410,125387,25,,,热卖促销,7天无理由|运费险|公益宝贝|蚂蚁花呗|信用卡支付|集分宝,大家电,厨房大电,油烟机,,,2021-05-28,09:20:31,5天10时0分49秒,五,http://item.taobao.com/item.htm?id=548588017571,https://kandianbao.com/item/548588017571/,铁皮很好(2);运转很正常(10);声音小(572);价格便宜实惠(4481);手感很好(10);玻璃坏损(27)
,,,,,,,,,,,,,30天销量总计,,,30天销售额总计,,,收藏数总计,,分享量总计,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,18642,,,6573383.000000001,,,1069650,,38,,,,,,,,,,,,,,,,
序号,主图,标题,宝贝id,货号,销售价最低,销售价最高,原价最低,原价最高,折扣率,sku数量,库存,邮费,30天销量,总销量,占全店销量比例,30天销售额,占全店销售额比例,总销售额,收藏数,评价数,PC总分享量,宝贝促销,店铺促销,活动促销,服务保证,一级类目,二级类目,三级类目,宝贝创建时间,宝贝创建时长,下架日期,下架时间,天数,星期,宝贝地址,分析地址,评价标签
数据下载时间：2021-05-22 23:19:45 功能：看店宝【kandianbao.com】全店宝贝 相关查询网址：https://kandianbao.com/dian/博莱克电器旗舰店,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
